IDSUCURSAL;CODIGOBARRAS;NOMBRE;FECHAINICIO;FECHAFIN;TIPOPROMOCION;VALOR1;VALOR2
68;1000000000667;Biodex;31/10/2017;31/10/2019;3;5399;42
69;1000000000668;Tempsoft;1/11/2017;1/11/2019;4;2919;53
70;1000000000669;Lotlux;2/11/2017;2/11/2019;5;3760;70
71;1000000000670;Ronstring;3/11/2017;3/11/2019;1;7935;56
72;1000000000671;Tempsoft;4/11/2017;4/11/2019;2;5126;64
73;1000000000672;Lotlux;5/11/2017;5/11/2019;3;5939;61
74;1000000000673;Fix San;6/11/2017;6/11/2019;4;8593;98
75;1000000000674;Sonsing;7/11/2017;7/11/2019;5;6367;74
76;1000000000675;Flowdesk;8/11/2017;8/11/2019;1;9992;2
77;1000000000676;Transcof;9/11/2017;9/11/2019;2;5602;73
78;1000000000677;Rank;10/11/2017;10/11/2019;3;1087;53
79;1000000000678;Y-Solowarm;11/11/2017;11/11/2019;4;4543;44
80;1000000000679;Cookley;12/11/2017;12/11/2019;5;5295;81
81;1000000000680;Stronghold;13/11/2017;13/11/2019;1;7067;75
82;1000000000681;Fixflex;14/11/2017;14/11/2019;2;2231;16
83;1000000000682;Latlux;15/11/2017;15/11/2019;3;5854;12
84;1000000000683;Holdlamis;16/11/2017;16/11/2019;4;4582;63
85;1000000000684;Mat Lam Tam;17/11/2017;17/11/2019;5;8712;9
86;1000000000685;Treeflex;18/11/2017;18/11/2019;1;4639;84
87;1000000000686;Viva;19/11/2017;19/11/2019;2;6474;52
88;1000000000687;Gembucket;20/11/2017;20/11/2019;3;5353;64
89;1000000000688;Cardguard;21/11/2017;21/11/2019;4;3730;38
90;1000000000689;Regrant;22/11/2017;22/11/2019;5;2885;32
91;1000000000690;Cardify;23/11/2017;23/11/2019;1;9952;4
92;1000000000691;Span;24/11/2017;24/11/2019;2;3437;49
93;1000000000692;Tampflex;25/11/2017;25/11/2019;3;3177;24
94;1000000000693;Keylex;26/11/2017;26/11/2019;4;514;44
95;1000000000694;Flexidy;27/11/2017;27/11/2019;5;6509;20
96;1000000000695;Namfix;28/11/2017;28/11/2019;1;6364;17
97;1000000000696;Fix San;29/11/2017;29/11/2019;2;4917;53
98;1000000000697;Fintone;30/11/2017;30/11/2019;3;3983;3
99;1000000000698;Zamit;1/12/2017;1/12/2019;4;703;53
100;1000000000699;Namfix;2/12/2017;2/12/2019;5;1624;2
101;1000000000700;Alphazap;3/12/2017;3/12/2019;1;8930;47
102;1000000000701;Sonair;4/12/2017;4/12/2019;2;3619;81
103;1000000000702;Cardguard;5/12/2017;5/12/2019;3;8994;28
104;1000000000703;Fixflex;6/12/2017;6/12/2019;4;3725;66
105;1000000000704;Job;7/12/2017;7/12/2019;5;3284;61
106;1000000000705;Temp;8/12/2017;8/12/2019;1;3374;53
107;1000000000706;Sub-Ex;9/12/2017;9/12/2019;2;6841;9
108;1000000000707;Voltsillam;10/12/2017;10/12/2019;3;4956;34
109;1000000000708;Cardguard;11/12/2017;11/12/2019;4;1503;31
110;1000000000709;Hatity;12/12/2017;12/12/2019;5;2595;86
111;1000000000710;Solarbreeze;13/12/2017;13/12/2019;1;1315;5
112;1000000000711;Otcom;14/12/2017;14/12/2019;2;9780;51
113;1000000000712;Cookley;15/12/2017;15/12/2019;3;391;39
114;1000000000713;Zamit;16/12/2017;16/12/2019;4;3006;35
115;1000000000714;Keylex;17/12/2017;17/12/2019;5;1141;82
116;1000000000715;Bamity;18/12/2017;18/12/2019;1;3188;65
117;1000000000716;Ventosanzap;19/12/2017;19/12/2019;2;1530;30
118;1000000000717;Bitchip;20/12/2017;20/12/2019;3;945;19
119;1000000000718;Cardify;21/12/2017;21/12/2019;4;8840;2
120;1000000000719;Solarbreeze;22/12/2017;22/12/2019;5;4918;49
121;1000000000720;Rank;23/12/2017;23/12/2019;1;7918;42
122;1000000000721;Bigtax;24/12/2017;24/12/2019;2;8108;35
123;1000000000722;Voyatouch;25/12/2017;25/12/2019;3;1796;6
124;1000000000723;Bitchip;26/12/2017;26/12/2019;4;5514;23
125;1000000000724;Latlux;27/12/2017;27/12/2019;5;7939;5
126;1000000000725;Stim;28/12/2017;28/12/2019;1;6545;68
127;1000000000726;Flowdesk;29/12/2017;29/12/2019;2;9498;9
128;1000000000727;Sub-Ex;30/12/2017;30/12/2019;3;9400;80
129;1000000000728;Flexidy;31/12/2017;31/12/2019;4;7927;93
130;1000000000729;Transcof;1/01/2017;1/01/2020;5;2473;77
131;1000000000730;Sonair;2/01/2017;2/01/2020;1;9367;69
132;1000000000731;Flexidy;3/01/2017;3/01/2020;2;6816;76
133;1000000000732;Rank;4/01/2017;4/01/2020;3;5227;27
134;1000000000733;Bigtax;5/01/2017;5/01/2020;4;6641;26
135;1000000000734;Bitchip;6/01/2017;6/01/2020;5;6465;44
136;1000000000735;Mat Lam Tam;7/01/2017;7/01/2020;1;7202;75
137;1000000000736;Fixflex;8/01/2017;8/01/2020;2;7222;32
138;1000000000737;Bitchip;9/01/2017;9/01/2020;3;1868;98
139;1000000000738;Quo Lux;10/01/2017;10/01/2020;4;2772;73
140;1000000000739;Temp;11/01/2017;11/01/2020;5;4828;73
141;1000000000740;Greenlam;12/01/2017;12/01/2020;1;1632;47
142;1000000000741;Veribet;13/01/2017;13/01/2020;2;1960;57
143;1000000000742;Solarbreeze;14/01/2017;14/01/2020;3;5786;37
144;1000000000743;Quo Lux;15/01/2017;15/01/2020;4;9638;26
145;1000000000744;Kanlam;16/01/2017;16/01/2020;5;8990;18
146;1000000000745;Cookley;17/01/2017;17/01/2020;1;7458;51
147;1000000000746;Tres-Zap;18/01/2017;18/01/2020;2;2157;56
148;1000000000747;Mat Lam Tam;19/01/2017;19/01/2020;3;1843;64
149;1000000000748;Daltfresh;20/01/2017;20/01/2020;4;4711;19
150;1000000000749;Alphazap;21/01/2017;21/01/2020;5;4354;29
1;1000000000750;Vagram;22/01/2017;22/01/2020;1;1498;61
2;1000000000751;Lotstring;23/01/2017;23/01/2020;2;1822;17
3;1000000000752;Tresom;24/01/2017;24/01/2020;3;9747;47
4;1000000000753;Aerified;25/01/2017;25/01/2020;4;207;96
5;1000000000754;Domainer;26/01/2017;26/01/2020;5;5184;32
6;1000000000755;Keylex;27/01/2017;27/01/2020;1;7500;75
7;1000000000756;Mat Lam Tam;28/01/2017;28/01/2020;2;8517;22
8;1000000000757;Aerified;29/01/2017;29/01/2020;3;8011;88
9;1000000000758;Veribet;30/01/2017;30/01/2020;4;1556;86
10;1000000000759;Andalax;31/01/2017;31/01/2020;5;4016;37
11;1000000000760;Solarbreeze;1/02/2017;1/02/2020;1;897;66
12;1000000000761;Home Ing;2/02/2017;2/02/2020;2;5394;47
13;1000000000762;Alpha;3/02/2017;3/02/2020;3;6755;69
14;1000000000763;Zoolab;4/02/2017;4/02/2020;4;5450;99
15;1000000000764;Mat Lam Tam;5/02/2017;5/02/2020;5;6023;79
16;1000000000765;Bytecard;6/02/2017;6/02/2020;1;341;44
17;1000000000766;Zontrax;7/02/2017;7/02/2020;2;2069;35
18;1000000000767;Trippledex;8/02/2017;8/02/2020;3;3077;71
19;1000000000768;Toughjoyfax;9/02/2017;9/02/2020;4;4892;78
20;1000000000769;Cookley;10/02/2017;10/02/2020;5;651;4
21;1000000000770;Opela;11/02/2017;11/02/2020;1;8127;0
22;1000000000771;Zaam-Dox;12/02/2017;12/02/2020;2;1282;91
23;1000000000772;Kanlam;13/02/2017;13/02/2020;3;4859;86
24;1000000000773;It;14/02/2017;14/02/2020;4;5168;84
25;1000000000774;Alpha;15/02/2017;15/02/2020;5;4847;19
26;1000000000775;Job;16/02/2017;16/02/2020;1;9810;6
27;1000000000776;Opela;17/02/2017;17/02/2020;2;950;27
28;1000000000777;Cardguard;18/02/2017;18/02/2020;3;4036;15
29;1000000000778;Hatity;19/02/2017;19/02/2020;4;3148;35
30;1000000000779;Zontrax;20/02/2017;20/02/2020;5;8830;65
31;1000000000780;Lotstring;21/02/2017;21/02/2020;1;5046;45
32;1000000000781;Zathin;22/02/2017;22/02/2020;2;9136;38
33;1000000000782;Fintone;23/02/2017;23/02/2020;3;4650;75
34;1000000000783;Y-Solowarm;24/02/2017;24/02/2020;4;6921;65
35;1000000000784;Vagram;25/02/2017;25/02/2020;5;2006;57
36;1000000000785;Viva;26/02/2017;26/02/2020;1;9436;75
37;1000000000786;Alphazap;27/02/2017;27/02/2020;2;8754;10
38;1000000000787;Flowdesk;28/02/2017;28/02/2020;3;3739;96
39;1000000000788;Fix San;1/03/2017;29/02/2020;4;2073;24
40;1000000000789;Treeflex;2/03/2017;1/03/2020;5;5852;9
41;1000000000790;Y-find;3/03/2017;2/03/2020;1;7764;49
42;1000000000791;Domainer;4/03/2017;3/03/2020;2;7442;62
43;1000000000792;Cardify;5/03/2017;4/03/2020;3;2024;37
44;1000000000793;Stronghold;6/03/2017;5/03/2020;4;5124;63
45;1000000000794;Tampflex;7/03/2017;6/03/2020;5;502;67
46;1000000000795;Zontrax;8/03/2017;7/03/2020;1;5109;59
47;1000000000796;Voyatouch;9/03/2017;8/03/2020;2;8614;96
48;1000000000797;Treeflex;10/03/2017;9/03/2020;3;6174;44
49;1000000000798;Voyatouch;11/03/2017;10/03/2020;4;839;99
50;1000000000799;Tresom;12/03/2017;11/03/2020;5;2075;86
51;1000000000800;Aerified;13/03/2017;12/03/2020;1;8043;8
52;1000000000801;Tempsoft;14/03/2017;13/03/2020;2;9919;11
53;1000000000802;Voltsillam;15/03/2017;14/03/2020;3;5554;88
54;1000000000803;Vagram;16/03/2017;15/03/2020;4;8782;50
55;1000000000804;Domainer;17/03/2017;16/03/2020;5;6056;72
56;1000000000805;Flowdesk;18/03/2017;17/03/2020;1;1463;15
57;1000000000806;Tin;19/03/2017;18/03/2020;2;1829;59
58;1000000000807;Temp;20/03/2017;19/03/2020;3;7871;90
59;1000000000808;Bamity;21/03/2017;20/03/2020;4;5073;87
60;1000000000809;Vagram;22/03/2017;21/03/2020;5;6270;41
61;1000000000810;Sonair;23/03/2017;22/03/2020;1;626;39
62;1000000000811;Asoka;24/03/2017;23/03/2020;2;4907;42
63;1000000000812;Subin;25/03/2017;24/03/2020;3;3768;93
64;1000000000813;Stringtough;26/03/2017;25/03/2020;4;682;27
65;1000000000814;Bitwolf;27/03/2017;26/03/2020;5;6034;72
66;1000000000815;Tres-Zap;28/03/2017;27/03/2020;1;3011;27
67;1000000000816;Tin;29/03/2017;28/03/2020;2;404;96
68;1000000000817;Temp;30/03/2017;29/03/2020;3;8691;85
69;1000000000818;Biodex;31/03/2017;30/03/2020;4;8431;78
70;1000000000819;Asoka;1/04/2017;31/03/2020;5;1005;31
71;1000000000820;Stronghold;2/04/2017;1/04/2020;1;1416;43
72;1000000000821;Overhold;3/04/2017;2/04/2020;2;8368;87
73;1000000000822;Daltfresh;4/04/2017;3/04/2020;3;1464;47
74;1000000000823;Stim;5/04/2017;4/04/2020;4;3222;79
75;1000000000824;Lotlux;6/04/2017;5/04/2020;5;6004;89
76;1000000000825;Bamity;7/04/2017;6/04/2020;1;2965;13
77;1000000000826;Trippledex;8/04/2017;7/04/2020;2;4450;78
78;1000000000827;Regrant;9/04/2017;8/04/2020;3;7680;28
79;1000000000828;Ronstring;10/04/2017;9/04/2020;4;9422;45
80;1000000000829;Voltsillam;11/04/2017;10/04/2020;5;9925;66
81;1000000000830;Bamity;12/04/2017;11/04/2020;1;5267;85
82;1000000000831;Asoka;13/04/2017;12/04/2020;2;9681;35
83;1000000000832;Zaam-Dox;14/04/2017;13/04/2020;3;2021;41
84;1000000000833;Bitchip;15/04/2017;14/04/2020;4;1880;46
85;1000000000834;Sonsing;16/04/2017;15/04/2020;5;4916;41
86;1000000000835;Overhold;17/04/2017;16/04/2020;1;759;20
87;1000000000836;Tempsoft;18/04/2017;17/04/2020;2;51;38
88;1000000000837;Namfix;19/04/2017;18/04/2020;3;9293;40
89;1000000000838;Y-find;20/04/2017;19/04/2020;4;6319;76
90;1000000000839;Job;21/04/2017;20/04/2020;5;5912;17
91;1000000000840;Aerified;22/04/2017;21/04/2020;1;4696;61
92;1000000000841;Konklux;23/04/2017;22/04/2020;2;2131;26
93;1000000000842;Vagram;24/04/2017;23/04/2020;3;3567;53
94;1000000000843;Prodder;25/04/2017;24/04/2020;4;7913;25
95;1000000000844;Wrapsafe;26/04/2017;25/04/2020;5;4027;0
96;1000000000845;Cardguard;27/04/2017;26/04/2020;1;9758;21
97;1000000000846;Zathin;28/04/2017;27/04/2020;2;3385;69
98;1000000000847;Ventosanzap;29/04/2017;28/04/2020;3;6786;79
99;1000000000848;Alphazap;30/04/2017;29/04/2020;4;2806;14
100;1000000000849;Alpha;1/05/2017;30/04/2020;5;4241;43
101;1000000000850;Sonair;2/05/2017;1/05/2020;1;1929;77
102;1000000000851;Holdlamis;3/05/2017;2/05/2020;2;6296;45
103;1000000000852;Bitwolf;4/05/2017;3/05/2020;3;9548;82
104;1000000000853;Kanlam;5/05/2017;4/05/2020;4;8819;71
105;1000000000854;Zontrax;6/05/2017;5/05/2020;5;3425;47
106;1000000000855;Aerified;7/05/2017;6/05/2020;1;9248;19
107;1000000000856;Temp;8/05/2017;7/05/2020;2;470;51
108;1000000000857;Biodex;9/05/2017;8/05/2020;3;2169;60
109;1000000000858;Fintone;10/05/2017;9/05/2020;4;3280;17
110;1000000000859;Daltfresh;11/05/2017;10/05/2020;5;5637;15
111;1000000000860;Ronstring;12/05/2017;11/05/2020;1;5815;44
112;1000000000861;Home Ing;13/05/2017;12/05/2020;2;9267;5
113;1000000000862;Lotstring;14/05/2017;13/05/2020;3;68;61
114;1000000000863;Bamity;15/05/2017;14/05/2020;4;795;86
115;1000000000864;Hatity;16/05/2017;15/05/2020;5;8161;62
116;1000000000865;Aerified;17/05/2017;16/05/2020;1;7172;50
117;1000000000866;Rank;18/05/2017;17/05/2020;2;6467;1
118;1000000000867;Andalax;19/05/2017;18/05/2020;3;1497;26
119;1000000000868;Regrant;20/05/2017;19/05/2020;4;3215;57
120;1000000000869;Cardguard;21/05/2017;20/05/2020;5;2383;44
121;1000000000870;Zaam-Dox;22/05/2017;21/05/2020;1;9087;60
122;1000000000871;Overhold;23/05/2017;22/05/2020;2;3571;72
123;1000000000872;Y-Solowarm;24/05/2017;23/05/2020;3;5148;77
124;1000000000873;Bytecard;25/05/2017;24/05/2020;4;75;42
125;1000000000874;Trippledex;26/05/2017;25/05/2020;5;2918;57
126;1000000000875;Treeflex;27/05/2017;26/05/2020;1;8301;83
127;1000000000876;Solarbreeze;28/05/2017;27/05/2020;2;9541;55
128;1000000000877;Redhold;29/05/2017;28/05/2020;3;9458;8
129;1000000000878;Zaam-Dox;30/05/2017;29/05/2020;4;9318;82
130;1000000000879;Rank;31/05/2017;30/05/2020;5;2772;42
131;1000000000880;Opela;1/06/2017;31/05/2020;1;7156;0
132;1000000000881;Flowdesk;2/06/2017;1/06/2020;2;7662;53
133;1000000000882;Toughjoyfax;3/06/2017;2/06/2020;3;2920;6
134;1000000000883;Mat Lam Tam;4/06/2017;3/06/2020;4;8506;1
135;1000000000884;Andalax;5/06/2017;4/06/2020;5;72;34
136;1000000000885;Keylex;6/06/2017;5/06/2020;1;5870;16
137;1000000000886;Quo Lux;7/06/2017;6/06/2020;2;4247;33
138;1000000000887;Alpha;8/06/2017;7/06/2020;3;6991;18
139;1000000000888;Lotstring;9/06/2017;8/06/2020;4;8798;25
140;1000000000889;Redhold;10/06/2017;9/06/2020;5;9106;66
141;1000000000890;Temp;11/06/2017;10/06/2020;1;381;17
142;1000000000891;Toughjoyfax;12/06/2017;11/06/2020;2;188;69
143;1000000000892;Stim;13/06/2017;12/06/2020;3;7028;34
144;1000000000893;Quo Lux;14/06/2017;13/06/2020;4;7470;2
145;1000000000894;Voltsillam;15/06/2017;14/06/2020;5;5458;68
146;1000000000895;Tempsoft;16/06/2017;15/06/2020;1;9730;17
147;1000000000896;Job;17/06/2017;16/06/2020;2;1575;86
148;1000000000897;Prodder;18/06/2017;17/06/2020;3;3641;78
149;1000000000898;Zoolab;19/06/2017;18/06/2020;4;4274;35
150;1000000000899;Sonair;20/06/2017;19/06/2020;5;1160;56
1;1000000000900;Fix San;21/06/2017;20/06/2020;1;2476;6
2;1000000000901;Cookley;22/06/2017;21/06/2020;2;9592;26
3;1000000000902;Fixflex;23/06/2017;22/06/2020;3;3115;57
4;1000000000903;Rank;24/06/2017;23/06/2020;4;6071;40
5;1000000000904;Alphazap;25/06/2017;24/06/2020;5;264;44
6;1000000000905;Subin;26/06/2017;25/06/2020;1;8832;11
7;1000000000906;Keylex;27/06/2017;26/06/2020;2;362;22
8;1000000000907;Lotstring;28/06/2017;27/06/2020;3;6351;99
9;1000000000908;Solarbreeze;29/06/2017;28/06/2020;4;325;4
10;1000000000909;Overhold;30/06/2017;29/06/2020;5;1919;88
11;1000000000910;Biodex;1/07/2017;30/06/2020;1;8596;71
12;1000000000911;Flexidy;2/07/2017;1/07/2020;2;8209;51
13;1000000000912;Matsoft;3/07/2017;2/07/2020;3;8561;26
14;1000000000913;Bytecard;4/07/2017;3/07/2020;4;4774;67
15;1000000000914;Zaam-Dox;5/07/2017;4/07/2020;5;100;4
16;1000000000915;Voltsillam;6/07/2017;5/07/2020;1;2368;72
17;1000000000916;Namfix;7/07/2017;6/07/2020;2;860;71
18;1000000000917;Latlux;8/07/2017;7/07/2020;3;2923;1
19;1000000000918;Y-find;9/07/2017;8/07/2020;4;1126;95
20;1000000000919;Wrapsafe;10/07/2017;9/07/2020;5;1300;39
21;1000000000920;It;11/07/2017;10/07/2020;1;5175;4
22;1000000000921;Hatity;12/07/2017;11/07/2020;2;4745;19
23;1000000000922;Veribet;13/07/2017;12/07/2020;3;310;9
24;1000000000923;Stronghold;14/07/2017;13/07/2020;4;151;81
25;1000000000924;Flexidy;15/07/2017;14/07/2020;5;1188;11
26;1000000000925;Voltsillam;16/07/2017;15/07/2020;1;6963;33
27;1000000000926;Daltfresh;17/07/2017;16/07/2020;2;8835;73
28;1000000000927;Namfix;18/07/2017;17/07/2020;3;4327;81
29;1000000000928;Cardify;19/07/2017;18/07/2020;4;3674;90
30;1000000000929;Domainer;20/07/2017;19/07/2020;5;4468;71
31;1000000000930;Tresom;21/07/2017;20/07/2020;1;7190;7
32;1000000000931;Sonsing;22/07/2017;21/07/2020;2;4066;83
33;1000000000932;Bigtax;23/07/2017;22/07/2020;3;7795;5
34;1000000000933;Flexidy;24/07/2017;23/07/2020;4;4434;79
35;1000000000934;Kanlam;25/07/2017;24/07/2020;5;8612;61
36;1000000000935;Vagram;26/07/2017;25/07/2020;1;3009;22
37;1000000000936;Subin;27/07/2017;26/07/2020;2;7760;96
38;1000000000937;Alphazap;28/07/2017;27/07/2020;3;6027;99
39;1000000000938;Pannier;29/07/2017;28/07/2020;4;8007;80
40;1000000000939;Konklux;30/07/2017;29/07/2020;5;3836;37
41;1000000000940;Span;31/07/2017;30/07/2020;1;4642;43
42;1000000000941;Toughjoyfax;1/08/2017;31/07/2020;2;7706;54
43;1000000000942;Redhold;2/08/2017;1/08/2020;3;7514;67
44;1000000000943;Trippledex;3/08/2017;2/08/2020;4;9238;49
45;1000000000944;Prodder;4/08/2017;3/08/2020;5;4944;62
46;1000000000945;Fixflex;5/08/2017;4/08/2020;1;5893;75
47;1000000000946;Alphazap;6/08/2017;5/08/2020;2;9205;6
48;1000000000947;Andalax;7/08/2017;6/08/2020;3;4405;58
49;1000000000948;Cookley;8/08/2017;7/08/2020;4;3215;43
50;1000000000949;Duobam;9/08/2017;8/08/2020;5;1459;85
51;1000000000950;Wrapsafe;10/08/2017;9/08/2020;1;981;84
52;1000000000951;Pannier;11/08/2017;10/08/2020;2;8144;46
53;1000000000952;Zontrax;12/08/2017;11/08/2020;3;8108;39
54;1000000000953;Treeflex;13/08/2017;12/08/2020;4;9602;15
55;1000000000954;Lotstring;14/08/2017;13/08/2020;5;5504;76
56;1000000000955;Bytecard;15/08/2017;14/08/2020;1;2954;90
57;1000000000956;Bamity;16/08/2017;15/08/2020;2;4109;61
58;1000000000957;Job;17/08/2017;16/08/2020;3;4236;41
59;1000000000958;Bytecard;18/08/2017;17/08/2020;4;2693;11
60;1000000000959;Lotlux;19/08/2017;18/08/2020;5;9655;3
61;1000000000960;Pannier;20/08/2017;19/08/2020;1;4562;76
62;1000000000961;Solarbreeze;21/08/2017;20/08/2020;2;8014;29
63;1000000000962;Prodder;22/08/2017;21/08/2020;3;638;20
64;1000000000963;Cardguard;23/08/2017;22/08/2020;4;6669;26
65;1000000000964;Namfix;24/08/2017;23/08/2020;5;1936;3
66;1000000000965;Bytecard;25/08/2017;24/08/2020;1;3982;57
67;1000000000966;Zoolab;26/08/2017;25/08/2020;2;208;61
68;1000000000967;Home Ing;27/08/2017;26/08/2020;3;7354;5
69;1000000000968;Zamit;28/08/2017;27/08/2020;4;4799;5
70;1000000000969;Fix San;29/08/2017;28/08/2020;5;7457;4
71;1000000000970;Konklab;30/08/2017;29/08/2020;1;7597;37
72;1000000000971;Stringtough;31/08/2017;30/08/2020;2;925;35
73;1000000000972;Treeflex;1/09/2017;31/08/2020;3;2682;22
74;1000000000973;Matsoft;2/09/2017;1/09/2020;4;106;91
75;1000000000974;Stringtough;3/09/2017;2/09/2020;5;5339;9
76;1000000000975;Holdlamis;4/09/2017;3/09/2020;1;4365;41
77;1000000000976;Trippledex;5/09/2017;4/09/2020;2;1677;94
78;1000000000977;Bigtax;6/09/2017;5/09/2020;3;6725;45
79;1000000000978;Zaam-Dox;7/09/2017;6/09/2020;4;3270;29
80;1000000000979;Stronghold;8/09/2017;7/09/2020;5;9901;12
81;1000000000980;Domainer;9/09/2017;8/09/2020;1;5288;38
82;1000000000981;Quo Lux;10/09/2017;9/09/2020;2;7419;68
83;1000000000982;Asoka;11/09/2017;10/09/2020;3;1087;99
84;1000000000983;Latlux;12/09/2017;11/09/2020;4;293;53
85;1000000000984;Bytecard;13/09/2017;12/09/2020;5;8330;80
86;1000000000985;Voyatouch;14/09/2017;13/09/2020;1;1075;92
87;1000000000986;Kanlam;15/09/2017;14/09/2020;2;8965;76
88;1000000000987;Otcom;16/09/2017;15/09/2020;3;9773;15
89;1000000000988;Fixflex;17/09/2017;16/09/2020;4;7355;91
90;1000000000989;Alpha;18/09/2017;17/09/2020;5;419;91
91;1000000000990;Latlux;19/09/2017;18/09/2020;1;7055;7
92;1000000000991;Cardify;20/09/2017;19/09/2020;2;722;96
93;1000000000992;Namfix;21/09/2017;20/09/2020;3;2403;59
94;1000000000993;Matsoft;22/09/2017;21/09/2020;4;118;37
95;1000000000994;Tampflex;23/09/2017;22/09/2020;5;2008;98
96;1000000000995;Domainer;24/09/2017;23/09/2020;1;3180;21
97;1000000000996;Sonsing;25/09/2017;24/09/2020;2;3796;80
98;1000000000997;Aerified;26/09/2017;25/09/2020;3;3080;5
99;1000000000998;Tampflex;27/09/2017;26/09/2020;4;2005;91
100;1000000000999;Voyatouch;28/09/2017;27/09/2020;5;4277;44
